prize;discipline;year;laureate;motivation
Nobel Prize;medicine;1901;Emil Adolf von Behring (Ger) ;for his work on serum therapy
Nobel Prize;literature;1901;Sully Prudhomme (Fra);in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect
Nobel Prize;physics;1901;Wilhelm Conrad Röntgen (Ger) ;in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
Nobel Prize;chemistry;1901;Jacobus Henricus van 't Hoff (Net) ;in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
Nobel Prize;peace;1901;Jean Henri Dunant (Swi);founder of the Red Cross and initiator of the Geneva Convention
Nobel Prize;peace;1901;Frédéric Passy (Fra);founder and chairman of the Societe Française pour l'arbitrage entre nations
Nobel Prize;medicine;1902;Ronald Ross (GB) ;for his work on malaria
Nobel Prize;literature;1902;Theodor Mommsen (Ger);the greatest living master of the art of historical writing, with special reference to his monumental work, A History of Rome
Nobel Prize;physics;1902;Hendrik Antoon Lorentz (Net), Pieter Zeeman (Net) ;in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
Nobel Prize;chemistry;1902;Hermann Emil Fischer (Ger) ;in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
Nobel Prize;peace;1902;Élie Ducommun (Swi), Charles Albert Gobat (Swi);advocates of peace, honour secretaries of the International Bureau of peace in Bern
Nobel Prize;medicine;1903;Niels Ryberg Finsen (Den) ;in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science
Nobel Prize;literature;1903;Bjørnstjerne Bjørnson (Nor);as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit
Nobel Prize;physics;1903;Antoine Henri Becquerel (Fra);in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
Nobel Prize;physics;1903;Pierre Curie (Fra), Marie Curie-Sklodowska (Fra) ;in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
Nobel Prize;chemistry;1903;Svante August Arrhenius (Swe) ;in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
Nobel Prize;peace;1903;Sir William Randal Cremer (GB);secretary of the International Arbitrage Commission
Nobel Prize;medicine;1904;Ivan Petrovitsj Pavlov (Rus) ;in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged
Nobel Prize;literature;1904;Frederic Mistral (Fra);in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Provençal philologist
Nobel Prize;literature;1904;Jose Echegaray Y Eizaguirre (Spa);in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama
Nobel Prize;physics;1904;John William Strutt Rayleigh (GB) ;for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
